id,type_id,sub_category,Categorie,nom,Adresse,Code_postale,Ville,lat,lon,Usage_principale,date_de_construction,nombre_de_batiments,nombre_de_niveaux,Surface totale (m?),Compacite,Periode_d_occupation_des_locaux,hauteur_sous_plafond_moyenne,Zone_climatique (RT_2005),Temp_exterieure_de_base_(?C),orientation_principale,Surface_totale (m?),D?tail_des_surfaces,Chauffage,ecs,renouvellement_d_air,Remarques,plan,image,cons_gaz,cons_gas_link,cons_elec,cons_elec_link,cons_eau,cons_eau_link,cons_eau_chaude,cons_eau_chaude_link,dpec,maintenance
1,1,1,Mat et Elem,Groupe Scolaire HenriI ARNOULD , 5 rue Leon Lemaire,2100,Saint-Quentin,49.83516264,3.317452669,,,,,,,,,H1a,-7,,,,,,,,,,,,,,,,,,,
2,1,1,Mat et Elem,Groupe Scolaire Quentin BARRE,Impasse Jacquard  et 59 rue Quentin Barr?,2100,Saint-Quentin,49.8486184,3.298704028,,,,,,,,,H1a,-7,,,,,,,,,,,,,,,,,,,
3,1,1,Mat et Elem,Groupe Scolaire PAUL BERT ,66 rue du Fleming,2100,Saint-Quentin,49.86296777,3.305342495,,,,,,,,,H1a,-7,,,,,,,,,,,,,,,,,,,
4,1,1,Mat et Elem,Groupe Scolaire FRAN?OIS COLLERY ,88 rue Henry Dunant,2100,Saint-Quentin,49.85433756,3.305114508,,,,,,,,,H1a,-7,,,,,,,,,,,,,,,,,,,
5,1,1,Mat et Elem,Groupe Scolaire CORRETTE ,39 rue Briatte ,2100,Saint-Quentin,49.83278038,3.308386803,,,,,,,,,H1a,-7,,,,,,,,,,,,,,,,,,,
6,1,1,Mat et Elem,Groupe Scolaire CAMILLE DESMOULINS ,2 rue Louise Hugues et 109 rue Camille Desmoulins,2100,Saint-Quentin,49.85425456,3.295085728,,,,,,,,,H1a,-7,,,,,,,,,,,,,,,,,,,
7,1,1,Mat et Elem,Groupe Scolaire LES GIRONDINS ,Place des Girondins - 40 rue des Girondins,2100,Saint-Quentin,49.83824021,3.307804763,"Ecole primaire et ?lementaire
",1921,9,"3 (Sous-sol,RDC et ?tage)
",3061 m?,"Ecole maternelle: 120 enfants et 5 enseignants
Ecole primaire: 291 ?l?ves",NC,"RDC: 2,9 m",H1a,-7,"Ecole ?l?mentaire filles: Sud Est
Ecole ?l?mentaire Gar?ons: Nord Ouest
Ecole ?l?mentaire: Ouest",3061 m?,,Chauffage au gaz,"Ballons ?lectriques d?centralis?s
","Ventilation naturelle par infiltration
",,,,,,,,,,,,,
8,1,1,Mat et Elem,"Groupe Scolaire d'Isle, Ecole  POLVENT ",1 rue d'Ostende,2100,Saint-Quentin,49.83884912,3.298915923,,,,,,,,,H1a,-7,,,,,,,,,,,,,,,,,,,
9,1,1,Mat et Elem,Groupe Scolaire Pierre LAROCHE ,2 rue Andr? Godin,2100,Saint-Quentin,49.8622364,3.298060298,"Ecole maternelle et primaire, Gymnase et logements
",1965,"3 (maternelle, primaire et gymnase)","Maternelle: 1 (RDC)
Primaire: 4 (RDC, R+1, R+2, et R+3)
Gymnase: 1 (RDC)",6141 m?,NC,NC,"Maternelle: RDC: 3,40 m
Primaire: RDC, R+1, R+2: 3,40 m ; R+3: NC
Gymnase: RDC: 14m",H1a,-7,"Maternelle: Nord / Ouest
Primaire: Sud / Ouest
Gymnase: Sud / Ouest",6141 m?,,"Chauffage urbain / sous station
 dans le bütiment maternelle","Maternelle et primaire: Electrique
Gymnase: Centralis?e en chauffage urbain","Maternelle: Ventilation naturelle par infiltraation
Primaire: Ventilation naturelle par infiltration dans les salles de classe, et ventilation sp?cifique pour la zone de cuisine avec 2 hottes d'extration
Gymnase: Pas de ventilation dans les vestiaires, et deux a?rothermes avec caissons d'air neuf et d'air m?lang? dans la grande salle de sport","Le gymnase ? ?t? r?habillit? r?cemment
Les 7 logements faisant initialement partidu groupe scolaire ne font plus partie de ce dernier, ils ne sont plus g?r?s par la Ville.",,,,,,,,,,,,
10,1,1,Mat et Elem,Groupe Scolaire METZ ,2 rue de Metz,2100,Saint-Quentin,49.84921162,3.290957808,"Ecole maternelle et primaire
",1954,1,3,1253 m?,0.35,de 7h45 ? 18h00,"3,2 m",H1a,-7,Nord / Sud,1253,,"Chaufferie gaz
plancher chauffant",Electrique,"Ventilation naturelle par infiltration
extracteur dans la pi?ce d'eau","Le bütiment est rattach? au coll?ge, appartenant au conseil r?gional, qui approvisionne l??cole primaire/maternelle en
chaleur.
L??cole a ?t? r?nov?e en 2002 : remplacement des fen?tres, mise en place de rideau, ind?pendance ?lectrique
(compteur bleu).",,,,,,,,,,,,
